exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_wmd	P_wmd	OR_egger	P_egger	egger_intercept_P	Q_pval	P_fdr	P_bonf
vacA	crohn	14	0.950552173845344	0.878926602199183	1.02801466350127	0.204530303773434	0.959366661200218	0.436050133152313	0.899742607612744	0.2967962393101	0.545152918323488	0.901758329274237	0.976510481846338	1
catalase	itp	8	1.13903799492649	0.919362650766503	1.41120324259907	0.233692694515905	1.16123601568589	0.321819113168253	1.07939329911184	0.72903177187581	0.772357277725793	0.484906135402691	0.976510481846338	1
vacA	itp	14	0.910506972626475	0.773348198777248	1.07199182530225	0.260391535786348	0.961164848911502	0.726263619380365	1.00391318266775	0.983291484355853	0.559138121499121	0.745447811541247	0.976510481846338	1
cagA	itp	13	0.921356402813336	0.796320854216729	1.06602460115165	0.27100025974842	0.935972462364636	0.526528207119816	1.02369726839148	0.892779060519924	0.504389699249536	0.735527041330276	0.976510481846338	1
groEL	stroke_isch	4	1.04103309379293	0.963567486610707	1.12472651623408	0.308061252808186	1.04288592808598	0.353777644303866	1.09916184585764	0.486679189249555	0.655153499845283	0.933582116109141	0.976510481846338	1
catalase	cad	7	0.983929239662357	0.953022769323425	1.01583800495117	0.319752615462273	0.991116426788227	0.675022868723324	0.953580837269371	0.140302724054748	0.222085330929135	0.333122554638423	0.976510481846338	1
groEL	cad	4	0.964720748391929	0.897129018571621	1.03740499204863	0.332480975381884	0.959694370151789	0.244591546000188	0.872194490763429	0.27915835572266	0.36241494454016	0.125905958248097	0.976510481846338	1
vacA	atopic	13	1.01639803696738	0.98345657210546	1.05044289585608	0.333242380889191	0.995061275630414	0.837080238450189	1.02357609459555	0.557615059634237	0.841263453930329	0.413645426798933	0.976510481846338	1
catalase	ra	8	0.966287807133298	0.901289459305136	1.03597364484251	0.33442010459294	0.968445322683958	0.491217776581254	0.915883524123949	0.304375336231049	0.471374070417025	0.936838607542673	0.976510481846338	1
vacA	cad	9	0.987160956993509	0.961536359453202	1.01346844082579	0.33555004270994	0.98469079483463	0.406585665039481	0.999210109007473	0.979727108777789	0.664950344041661	0.776623780367065	0.976510481846338	1
hpylori_general	ra	8	0.848046959314797	0.601601456864175	1.19544864294676	0.346761494332051	0.910332426511911	0.670249821211736	0.768888331492001	0.665069740307639	0.864535975381212	0.99099585211396	0.976510481846338	1
cagA	stroke_isch	10	0.983723319912856	0.94947851995135	1.01920322556634	0.363986656611718	0.970904254374639	0.233421281623926	0.967586321064242	0.415813648297461	0.638502130180561	0.670981086338296	0.976510481846338	1
hpylori_general	afib	10	1.07643021924686	0.911122820998353	1.27172977144641	0.386594904278172	1.11701740299065	0.246245785927519	1.54855592858428	0.113208885280712	0.156972717381651	0.108266231951845	0.976510481846338	1
cagA	cad	5	1.01331484204114	0.983335520529477	1.0442081544537	0.388002517907667	1.02185674744303	0.274428581412301	1.00621933871522	0.906506174711088	0.888507885326678	0.686306032018385	0.976510481846338	1
groEL	alzheimer	4	1.04168331946547	0.949221644171059	1.14315149124122	0.389168783509798	1.03743313395314	0.34161213204037	1.10165628045672	0.5859330877912	0.727456042622726	0.0781430358552598	0.976510481846338	1
ureA	cad	8	1.01452754824258	0.981724459890287	1.04842671054373	0.389739045207524	1.0142652032749	0.511126165338223	1.07695202318752	0.156677133310647	0.210785785419524	0.53574028765534	0.976510481846338	1
vacA	parkinson	14	0.970889066883245	0.903878561451558	1.04286750498832	0.41813730787727	0.962501621575629	0.464264106000247	1.04647916728959	0.60640991620514	0.353827204427635	0.59976209450189	0.976510481846338	1
vacA	pancan	14	0.952816430886236	0.846698951352103	1.07223370185709	0.422381959276055	1.0203255110897	0.815217762956354	0.945204136465941	0.673008648753123	0.945784158189305	0.688775115665338	0.976510481846338	1
cagA	uc	10	1.03399884693054	0.952803553029378	1.12211338009223	0.422961480654334	1.03927619325377	0.458251901062223	0.94448437559204	0.538405005163902	0.283962877379701	0.262941762418163	0.976510481846338	1
omp	cad	6	1.02234049874454	0.965080588173746	1.08299773944377	0.452453442263852	1.03796616816633	0.203533454340141	1.06869318288693	0.395462534266169	0.517892314048754	0.0924925712310926	0.976510481846338	1
ureA	atopic	10	0.983667493550873	0.941055557681809	1.02820894045007	0.46611631680921	0.983817194016149	0.592081104721855	0.899417190672724	0.106858826448497	0.138189522339938	0.334773781875797	0.976510481846338	1
cagA	atopic	9	1.01211812696016	0.978785754453242	1.04658562740686	0.480812546320731	0.996111904368492	0.864062069076232	1.02907885111128	0.462239556497498	0.622753410488309	0.448800328853938	0.976510481846338	1
catalase	atopic	7	1.01531644621294	0.973027046988982	1.05944381416784	0.483750576519216	0.998601508418357	0.959337242526252	1.03249124988036	0.491955113252437	0.663605382700768	0.337259191140801	0.976510481846338	1
ureA	uc	10	0.963531703312734	0.868373763423544	1.06911721932796	0.483773792617549	0.939935897286201	0.405974846319055	1.22474167618039	0.20281820489499	0.118046311607784	0.36933257965318	0.976510481846338	1
catalase	afib	8	1.01165280977166	0.979225183606876	1.04515429612335	0.485805950545773	1.01857472475807	0.367723190435726	0.97324722272136	0.367818082477556	0.149683438493472	0.287714707423089	0.976510481846338	1
hpylori_general	cad	9	1.05868681451199	0.901492658585474	1.24329106903678	0.486789441369231	1.06345358330188	0.56264260007279	1.25438502555678	0.392116060735561	0.491525326539847	0.228346713566196	0.976510481846338	1
cagA	crohn	10	1.04639611262617	0.919685192313745	1.19056480812147	0.491034676800558	1.04730684185627	0.429915452529209	0.91968093195099	0.574951351156155	0.340091699731341	0.00658292073323204	0.976510481846338	1
catalase	ms	4	0.959613376059984	0.85307783646079	1.0794534708974	0.492325403553973	0.97264360939868	0.69923413165861	0.848546247185617	0.359711997375607	0.43044290466046	0.32379712653252	0.976510481846338	1
omp	atopic	7	1.02134763357011	0.961577856526404	1.0848325816981	0.492364394919143	1.02009998160353	0.610352788435482	1.05999380439277	0.459680779349199	0.597632861715516	0.821202721744146	0.976510481846338	1
cagA	alzheimer	9	1.00854427937736	0.981849910238394	1.0359644105053	0.534171870673773	1.00744207306813	0.690334160172768	1.04693005162319	0.179593637703447	0.217217808111434	0.45944357761567	0.976510481846338	1
omp	afib	7	0.980496282753814	0.920492373516351	1.04441165201785	0.54098723818544	1.00221410305873	0.944122436843403	0.941588341471694	0.483647721129706	0.597470719793331	0.0257567168184563	0.976510481846338	1
groEL	crc	4	1.03539940201144	0.924568430246096	1.15951603647152	0.547013645351962	0.972920058904943	0.696358917224457	0.992139692682575	0.970911980146257	0.834708744047612	0.444025438952582	0.976510481846338	1
omp	stroke_isch	7	0.981506869651342	0.923369635297732	1.04330454278167	0.549049383107476	1.00242373446891	0.951044304177069	0.966930211223492	0.65923762005811	0.826255712830898	0.782111672838192	0.976510481846338	1
cagA	afib	12	1.00815523271164	0.981712426447914	1.03531028625294	0.549208019906677	1.00939369753422	0.587538705890774	1.01079033560691	0.732851311910609	0.925080407176609	0.155332636684078	0.976510481846338	1
hpylori_general	ida	10	0.934757770979066	0.745646131943167	1.17183212381011	0.558530589364511	0.891357328720415	0.450385999156119	1.15129178119679	0.716931899103143	0.575405269690884	0.7768577672896	0.976510481846338	1
ureA	ra	8	0.976651989948891	0.901307663280305	1.05829468485778	0.564098620467619	0.960909756511813	0.389496547691387	1.21600302472047	0.120946796937169	0.0762559962309129	0.213439616392376	0.976510481846338	1
cagA	pancan	13	0.9664678534562	0.858946616366872	1.08744838615824	0.570843816793695	0.978482554092771	0.782797071827195	0.948805098333449	0.723706918100326	0.890225004952857	0.278877664674721	0.976510481846338	1
groEL	afib	4	0.979601270420346	0.911513002255675	1.05277560126343	0.574980937610811	0.980929614958602	0.599193288966688	0.958705125173763	0.747036385119706	0.856284235953079	0.19494566494399	0.976510481846338	1
catalase	sle	7	0.965964900520379	0.851683746485437	1.0955805988876	0.589866264848322	1.01869686832087	0.830890537712916	0.841090383006511	0.182220332932848	0.194786542024029	0.391274529500065	0.976510481846338	1
ureA	t2d	5	0.973613351868031	0.881637423514468	1.07518457548796	0.597379126732515	0.924510991601997	0.0190870288552804	1.17180755472195	0.582870428666982	0.51654383842894	0.00177536216665546	0.976510481846338	1
cagA	ra	9	0.986590633821135	0.936759499168893	1.03907254701678	0.609678851764118	0.990613273784797	0.789629925077847	1.01572122485722	0.852175828423964	0.71395454279435	0.57422346228145	0.976510481846338	1
catalase	ida	8	0.986638754119412	0.936619817175541	1.03932888593565	0.612328450513923	0.998989221927909	0.977027868600154	0.930607999126204	0.185920531938661	0.201294197269506	0.380007209351907	0.976510481846338	1
ureA	crohn	10	1.04132784299357	0.886735325022711	1.2228718604008	0.621372079545932	1.01676967478161	0.840355054965457	1.16309071200534	0.559513614826856	0.647541408149384	0.0228844198972025	0.976510481846338	1
