exposure	outcome	eas_id	n_snp	OR_eas	L95_eas	U95_eas	P_eas	OR_wmd_eas	P_wmd_eas	OR_eur	L95_eur	U95_eur	P_eur	dir_concordant
groEL	afib	ebi-a-GCST004296	4	0.95036160755865	0.834552057034428	1.08224187755396	0.442536015579821	0.95572119005266	0.539992776373991	0.979601270420346	0.911513002255675	1.05277560126343	0.574980937610811	TRUE
vacA	asthma	bbj-a-88	7	0.965070276126982	0.879273094798705	1.05923932322418	0.454177050850462	0.999630212468008	0.993401974383708					FALSE
ureA	uc	ebi-a-GCST90018713	6	0.866108323572037	0.593600873429305	1.26371719068925	0.455827532651206	0.695557091839267	0.148322349032774	0.963531703312734	0.868373763423544	1.06911721932796	0.483773792617549	TRUE
omp	ra	bbj-a-151	6	1.1404541590733	0.780242741833071	1.66696288118223	0.49736583208647	0.963931358341311	0.614058084431852	1.42195491667416	0.858243320096539	2.35592370800671	0.171758632120166	TRUE
omp	parkinson	ebi-a-GCST90018674	7	1.12476391236569	0.799567100831802	1.58222350224776	0.49950030594823	0.987994640978241	0.958524512357932	1.04208071496089	0.936346891390025	1.15975417495253	0.450172784747991	TRUE
cagA	ra	bbj-a-151	9	0.957989949278503	0.844071738676154	1.08728287047973	0.506402189042002	0.992427441250979	0.875140495274514	0.950551673375501	0.826827248002279	1.0927899218852	0.475972363205367	TRUE
catalase	t2d	ebi-a-GCST010118	4	0.983432849727829	0.936063703452906	1.03319909356197	0.507148139699998	1.00318679683579	0.87442841350257	1.01090829886008	0.91689886291204	1.11455650131198	0.827540098643508	FALSE
hpylori_general	atopic	bbj-a-90	4	1.45097203171045	0.48169780009208	4.37062373214808	0.508198404231813	1.15309124725637	0.842000991640454	1.02780370759397	0.832929197702533	1.26827161811318	0.798199348495299	TRUE
catalase	afib	ebi-a-GCST004296	8	1.02282933221581	0.956234365073086	1.09406216828558	0.511086096868235	1.00907492850946	0.840820718415124	1.00821632870632	0.977711465528764	1.03967295189722	0.601657345776795	TRUE
ureA	stroke_isch	bbj-a-129	6	0.982051483962197	0.929923703805576	1.03710133767489	0.515137486107212	0.976763349056545	0.51428586116882	0.994500357457672	0.945635162546356	1.04589063536959	0.830129901260571	TRUE
