exposure	outcome	n_snp	OR_noHLA	L95_noHLA	U95_noHLA	P_ivw_noHLA	P_fdr_noHLA	OR_primary	L95_primary	U95_primary	P_ivw_primary	P_fdr_primary	delta_OR	P_changed_dir
hpylori_general	ra	8	0.848046959314797	0.601601456864175	1.19544864294676	0.346761494332051	0.976510481846338	0.848046959314797	0.601601456864175	1.19544864294676	0.346761494332051	0.994532972966802	0	FALSE
cagA	stroke_isch	10	0.983723319912856	0.94947851995135	1.01920322556634	0.363986656611718	0.976510481846338	0.984104838204123	0.951626863715702	1.01769125011386	0.3493782489766	0.994532972966802	-0.000381518291267202	FALSE
hpylori_general	afib	10	1.07643021924686	0.911122820998353	1.27172977144641	0.386594904278172	0.976510481846338	1.07643021924686	0.911122820998353	1.27172977144641	0.386594904278172	0.994532972966802	-1.11022302462516e-15	FALSE
groEL	alzheimer	4	1.04168331946547	0.949221644171059	1.14315149124122	0.389168783509798	0.976510481846338	1.04168331946547	0.949221644171059	1.14315149124122	0.389168783509798	0.994532972966802	-3.77475828372553e-15	FALSE
ureA	cad	8	1.01452754824258	0.981724459890287	1.04842671054373	0.389739045207524	0.976510481846338	1.01452754824258	0.981724459890287	1.04842671054373	0.389739045207524	0.994532972966802	-4.44089209850063e-15	FALSE
omp	afib	7	0.980496282753814	0.920492373516351	1.04441165201785	0.54098723818544	0.976510481846338	0.978476015138849	0.930944108016104	1.02843479426741	0.391760254110282	0.994532972966802	0.0020202676149651	FALSE
cagA	ms	3	0.980348358031761	0.762376958016849	1.26064001933586	0.877061614611262	0.976510481846338	0.538423082267588	0.125217363275879	2.31516946160113	0.405444923723348	0.994532972966802	0.441925275764173	FALSE
omp	asthma	3	0.757957665916864	0.639394645084487	0.898505841015025	0.00140737127221798	0.156218211216196	0.89274925019694	0.678580307712601	1.17451275061868	0.417572083827933	0.994532972966802	-0.134791584280076	TRUE
vacA	itp	14	0.910506972626475	0.773348198777248	1.07199182530225	0.260391535786348	0.976510481846338	0.939308683509531	0.807284473220788	1.09292428156871	0.417831394005682	0.994532972966802	-0.0288017108830557	FALSE
omp	pancan	7	1.02106598903952	0.815481144767817	1.27847928877631	0.8557835949207	0.976510481846338	0.926966706971194	0.770488142982294	1.11522452831927	0.42143610912851	0.994532972966802	0.0940992820683244	FALSE
cagA	sle	4	0.832856261878231	0.713495484100483	0.972184923951239	0.0204799444612869	0.976510481846338	1.27661369526024	0.689872598015012	2.36238188270603	0.436735489601922	0.994532972966802	-0.443757433382009	TRUE
omp	parkinson	6	1.02279208184457	0.908250495859855	1.15177877408543	0.709967582021376	0.976510481846338	1.04208071496089	0.936346891390025	1.15975417495253	0.450172784747991	0.994532972966802	-0.0192886331163196	FALSE
cagA	afib	12	1.00815523271164	0.981712426447914	1.03531028625294	0.549208019906677	0.976510481846338	1.00940019557411	0.984405958230917	1.03502904092138	0.464539982516583	0.994532972966802	-0.00124496286247244	FALSE
ureA	atopic	10	0.983667493550873	0.941055557681809	1.02820894045007	0.46611631680921	0.976510481846338	0.983667493550873	0.941055557681809	1.02820894045007	0.46611631680921	0.994532972966802	4.44089209850063e-16	FALSE
cagA	ra	9	0.986590633821135	0.936759499168893	1.03907254701678	0.609678851764118	0.976510481846338	0.950551673375501	0.826827248002279	1.0927899218852	0.475972363205367	0.994532972966802	0.0360389604456338	FALSE
