exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_egger	P_egger	OR_wmedian	P_wmedian	OR_wmode	P_wmode	P_egger_intercept	Q_pval	presso_global_p	P_bonf	P_fdr
ureA	ra	8	0.976651989948891	0.901307663280305	1.05829468485778	0.564098620467619	1.21600302472047	0.120946796937169	0.960909756511813	0.399511645432605	1.05993950099042	0.732348348970582	0.0762559962309129	0.213439616392376	0.239	1	0.994532972966802
groEL	afib	4	0.979601270420346	0.911513002255675	1.05277560126343	0.574980937610811	0.958705125173763	0.747036385119706	0.980929614958602	0.586683210108575	0.977832762686031	0.804330569978924	0.856284235953079	0.19494566494399	0.329	1	0.994532972966802
catalase	sle	7	0.965964900520379	0.851683746485437	1.0955805988876	0.589866264848322	0.841090383006511	0.182220332932848	1.01869686832087	0.827197227689161	1.03098840292214	0.838974790287475	0.194786542024029	0.391274529500065	0.378	1	0.994532972966802
ureA	t2d	5	0.973613351868031	0.881637423514468	1.07518457548796	0.597379126732515	1.17180755472195	0.582870428666982	0.924510991601997	0.0234281121265169	0.913222171340879	0.205981676993918	0.51654383842894	0.00177536216665546	0.008	1	0.994532972966802
catalase	afib	9	1.00821632870632	0.977711465528764	1.03967295189722	0.601657345776795	0.982395830504281	0.560002489803197	1.01302663890367	0.528837820922571	1.03310578064175	0.409515562953467	0.32496405531582	0.317732877402475	0.332	1	0.994532972966802
ureA	crohn	10	1.04132784299357	0.886735325022711	1.2228718604008	0.621372079545932	1.16309071200534	0.559513614826856	1.01676967478161	0.845566879042981	0.915013178164124	0.791668955416525	0.647541408149384	0.0228844198972025	0.028	1	0.994532972966802
ureA	ida	10	1.01246225253769	0.963766516143471	1.06361841342607	0.62237990549427	0.996512101842003	0.963662371086821	1.00605115881004	0.848883615363553	0.994924673944989	0.937472894029493	0.826112836290165	0.986343057818881	0.987	1	0.994532972966802
groEL	asthma	3	1.0421626615797	0.873999484090858	1.24268152666091	0.645531200765698	6.52115570836689	0.382777920551129	1.05636270099192	0.618452891050248	1.09020054652445	0.612810415952702	0.388764513584313	0.326950708122673		1	0.994532972966802
hpylori_general	sle	7	0.851872230179583	0.41039336799167	1.76827003833519	0.667009464502647	1.35765209076261	0.780542141333391	1.16396485368237	0.756518128291054	1.72236041611633	0.579282843118571	0.649978795502058	0.475045354773256	0.468	1	0.994532972966802
hpylori_general	pancan	10	0.855887277569049	0.419546478009736	1.74603546996659	0.668794314176554	1.18044812398809	0.892624879054146	1.1784575159503	0.71792993037871	1.27398365380773	0.795624718419541	0.783909874319383	0.935724776839186	0.934	1	0.994532972966802
vacA	ra	12	0.982714531897488	0.906074355982546	1.06583730664716	0.673829865096383	0.920967827405207	0.315511980242496	1.03107294715655	0.433348845991435	1.03742967603702	0.84642329241039	0.348326705744683	0.00415180296841972	0.01	1	0.994532972966802
groEL	sle	4	1.07120022604343	0.768753249858142	1.49263749387367	0.684495255853419	0.705703634659546	0.533510976056408	0.972741475762565	0.843411650309994	0.866333148152544	0.759520666730036	0.438352699464726	0.0737732913285568	0.135	1	0.994532972966802
vacA	crc	15	0.992455333803955	0.952779761677033	1.03378307266123	0.715985121516156	1.03220241098461	0.449870265680325	1.00227772793089	0.93623667040408	1.02678821698403	0.756198316941959	0.281557341519087	0.701605644016529	0.654	1	0.994532972966802
groEL	atopic	4	1.02242355495406	0.906423410554637	1.15326889569771	0.718152971995648	0.909850368059674	0.621411427514844	0.992420804889874	0.872721020405512	0.948226366269568	0.746527337976739	0.516774779797879	0.0409029293052849	0.103	1	0.994532972966802
ureA	pancan	10	0.959031476628633	0.756861004045165	1.2152051278224	0.729101502650318	1.4413180693575	0.324677908254381	0.919425729851672	0.476549916116622	0.928383622263555	0.871213464737876	0.24942343234954	0.0117392489659494	0.008	1	0.994532972966802
groEL	uc	4	1.02857191003273	0.873003550437771	1.2118623957232	0.736336567331307	0.999411875844287	0.998402421307772	1.01203928117719	0.908550792669321	0.974256034147109	0.904959884514999	0.915835030627123	0.418658129621874	0.474	1	0.994532972966802
ureA	alzheimer	10	0.994040207300346	0.959730724980125	1.02957622175759	0.738714230562202	1.03788878772332	0.467715318672616	0.992548877720938	0.746065114483663	0.994938704064397	0.916338966406497	0.369230169088744	0.955340245039834	0.953	1	0.994532972966802
groEL	parkinson	4	1.02826442858491	0.871864636760548	1.21272006056077	0.740566702667467	1.39500788245351	0.289543910568386	0.992452897062617	0.940942617871295	0.966693068552783	0.874293937696129	0.295769259099108	0.426244315229803	0.453	1	0.994532972966802
groEL	ra	4	1.03506186156712	0.84346838191453	1.27017571759953	0.741418778417041	0.63191720033146	0.261977412511015	0.935148784771524	0.45557078055139	0.926125703412394	0.719500403677255	0.226034480860589	0.0324189065821343	0.13	1	0.994532972966802
vacA	parkinson	15	1.01180353416736	0.942661345458234	1.08601715418373	0.745233362871166	1.14325812106366	0.064151969132524	1.00823339372263	0.869083925314761	1.15068728804583	0.305826158190155	0.0539864261520411	0.240423044792489	0.189	1	0.994532972966802
omp	cad	7	1.00781476977956	0.957065543065002	1.06125501805558	0.767766049384271	1.07442128666983	0.325672139461251	0.999604011980098	0.988944493083897	0.965748223621382	0.559454671365245	0.338544201501313	0.0725578054924048	0.091	1	0.994532972966802
ureA	sle	9	1.01741588648812	0.901296704111781	1.14849536379757	0.780053603145746	1.12410623125439	0.528109205207302	0.973941398369814	0.735594340698726	0.982256944487779	0.893841335534906	0.564792368194114	0.588207096467118	0.617	1	0.994532972966802
